arm,category,n_scenarios,event_recall,event_precision
A1,benign,10,,0.0
A1,ephemeral,10,0.8167,0.4481
A1,low_and_slow,12,0.8819,0.5583
A1,multi_stage_kill_chain,15,0.9045,0.896
A1,single_domain,12,0.844,0.5671
A2,benign,10,,0.0
A2,ephemeral,10,0.9173,0.6033
A2,low_and_slow,12,0.873,0.662
A2,multi_stage_kill_chain,15,0.7827,0.9403
A2,single_domain,12,0.7854,0.6111
A3,benign,10,,0.0
A3,ephemeral,10,0.738,0.535
A3,low_and_slow,12,0.881,0.7009
A3,multi_stage_kill_chain,15,0.7706,0.977
A3,single_domain,12,0.7727,0.6243
A4,benign,10,,0.0
A4,ephemeral,10,1.0,0.3614
A4,low_and_slow,12,1.0,0.374
A4,multi_stage_kill_chain,15,0.9667,0.6492
A4,single_domain,12,1.0,0.4521
