arm,ttp_id,ground_truth,missed,miss_rate
A1,T1046,6,6,1.0
A1,T1078.004,21,21,1.0
A1,T1098,9,9,1.0
A1,T1098.001,18,18,1.0
A1,T1110,9,9,1.0
A1,T1190,9,9,1.0
A1,T1485,9,9,1.0
A1,T1496,12,12,1.0
A1,T1526,12,12,1.0
A1,T1528,18,18,1.0
A1,T1530,27,27,1.0
A1,T1537,39,39,1.0
A1,T1548.005,15,15,1.0
A1,T1552.005,12,12,1.0
A1,T1562.008,15,15,1.0
A1,T1571,9,9,1.0
A1,T1578,15,14,0.9333
A1,T1580,9,7,0.7778
A2,T1046,6,6,1.0
A2,T1078.004,21,21,1.0
A2,T1098,9,9,1.0
A2,T1098.001,18,18,1.0
A2,T1485,9,9,1.0
A2,T1526,12,12,1.0
A2,T1528,18,18,1.0
A2,T1530,27,27,1.0
A2,T1537,39,39,1.0
A2,T1548.005,15,15,1.0
A2,T1552.005,12,12,1.0
A2,T1580,9,9,1.0
A2,T1562.008,15,14,0.9333
A2,T1110,9,8,0.8889
A2,T1190,9,8,0.8889
A2,T1571,9,8,0.8889
A2,T1578,15,13,0.8667
A2,T1496,12,10,0.8333
A3,T1046,6,6,1.0
A3,T1078.004,21,21,1.0
A3,T1098,9,9,1.0
A3,T1098.001,18,18,1.0
A3,T1110,9,9,1.0
A3,T1485,9,9,1.0
A3,T1496,12,12,1.0
A3,T1526,12,12,1.0
A3,T1528,18,18,1.0
A3,T1530,27,27,1.0
A3,T1548.005,15,15,1.0
A3,T1552.005,12,12,1.0
A3,T1562.008,15,15,1.0
A3,T1571,9,9,1.0
A3,T1537,39,38,0.9744
A3,T1190,9,8,0.8889
A3,T1580,9,8,0.8889
A3,T1578,15,12,0.8
A4,T1496,12,12,1.0
A4,T1580,9,9,1.0
A4,T1537,39,3,0.0769
A4,T1046,6,0,0.0
A4,T1078.004,21,0,0.0
A4,T1098,9,0,0.0
A4,T1098.001,18,0,0.0
A4,T1110,9,0,0.0
A4,T1190,9,0,0.0
A4,T1485,9,0,0.0
A4,T1526,12,0,0.0
A4,T1528,18,0,0.0
A4,T1530,27,0,0.0
A4,T1548.005,15,0,0.0
A4,T1552.005,12,0,0.0
A4,T1562.008,15,0,0.0
A4,T1571,9,0,0.0
A4,T1578,15,0,0.0
