arm,category,recall,ci95_low,ci95_high
A1,multi-stage,0.117,0.044,0.204
A1,low-and-slow,0.139,0.0,0.333
A1,ephemeral,0.1,0.0,0.3
A1,single-domain,0.167,0.0,0.417
A1,benign,1.0,1.0,1.0
A2,multi-stage,0.078,0.028,0.135
A2,low-and-slow,0.194,0.0,0.417
A2,ephemeral,0.1,0.0,0.3
A2,single-domain,0.167,0.0,0.417
A2,benign,1.0,1.0,1.0
A3,multi-stage,0.146,0.076,0.224
A3,low-and-slow,0.167,0.0,0.417
A3,ephemeral,0.1,0.0,0.3
A3,single-domain,0.139,0.0,0.333
A3,benign,1.0,1.0,1.0
A4,multi-stage,0.867,0.778,0.95
A4,low-and-slow,1.0,1.0,1.0
A4,ephemeral,0.8,0.5,1.0
A4,single-domain,1.0,1.0,1.0
A4,benign,1.0,1.0,1.0
SIGMA,multi-stage,0.739,,
SIGMA,low-and-slow,0.875,,
SIGMA,ephemeral,0.5,,
SIGMA,single-domain,0.75,,
SIGMA,benign,1.0,,
