arm,category,recall_7B,recall_32B
A1,multi-stage,0.041,0.117
A1,low-and-slow,0.028,0.139
A1,ephemeral,0.0,0.1
A1,single-domain,0.0,0.167
A1,benign,1.0,1.0
A2,multi-stage,0.046,0.078
A2,low-and-slow,0.056,0.194
A2,ephemeral,0.067,0.1
A2,single-domain,0.0,0.167
A2,benign,1.0,1.0
A3,multi-stage,0.022,0.146
A3,low-and-slow,0.056,0.167
A3,ephemeral,0.033,0.1
A3,single-domain,0.028,0.139
A3,benign,1.0,1.0
A4,multi-stage,0.867,0.867
A4,low-and-slow,1.0,1.0
A4,ephemeral,0.8,0.8
A4,single-domain,1.0,1.0
A4,benign,1.0,1.0
