true_ttp,n,exact_pct,parent_pct,not_detected_pct,top_wrong
T1046,150,0.0,0.0,0.0,"[('T1578', 150)]"
T1078.004,21,0.143,0.286,0.524,"[('T1098', 2), ('T1578', 1), ('T1046', 1)]"
T1098,18,0.0,0.0,0.0,"[('T1580', 10), ('T1548', 4), ('T1548.005', 4)]"
T1098.001,18,0.0,0.0,0.0,"[('T1548.005', 6), ('T1537', 5), ('T1548', 3)]"
T1110,54,1.0,1.0,0.0,[]
T1190,9,0.0,0.0,0.222,"[('T1562.001', 4), ('T1562.008', 3)]"
T1485,72,0.0,0.0,0.0,"[('T1562.008', 40), ('T1562.001', 16), ('T1537', 16)]"
T1496,12,0.0,0.0,0.0,"[('T1548.005', 10), ('T1526', 2)]"
T1526,24,0.0,0.0,0.0,"[('T1046', 18), ('T1078.004', 3), ('T1537', 2)]"
T1528,18,0.0,0.0,0.389,"[('T1548', 6), ('T1548.005', 2), ('T1562.008', 1)]"
T1530,147,0.0,0.0,0.014,"[('T1548.005', 48), ('T1562.008', 42), ('T1537', 42)]"
T1537,39,0.026,0.026,0.077,"[('T1046', 27), ('T1562.008', 6), ('T1528', 1)]"
T1548.005,15,0.2,0.667,0.067,"[('T1552.005', 3), ('T1098.001', 1)]"
T1552.005,12,0.0,0.0,0.083,"[('T1537', 5), ('T1528', 2), ('T1578', 2)]"
T1562.008,15,0.467,0.533,0.133,"[('T1098.001', 2), ('T1571', 1), ('T1098', 1)]"
T1571,36,0.0,0.0,0.0,"[('T1562.008', 28), ('T1578', 8)]"
T1578,15,0.0,0.0,0.0,"[('T1548', 4), ('T1046', 3), ('T1562.001', 3)]"
T1580,18,0.0,0.0,0.111,"[('T1046', 5), ('T1082', 3), ('T1548.005', 2)]"
