true_ttp,exact_7B,exact_32B,parent_7B,parent_32B
T1046,0.0,0.0,0.0,0.0
T1078.004,0.0,0.143,0.0,0.286
T1098,0.0,0.0,0.0,0.0
T1098.001,0.0,0.0,0.0,0.0
T1110,0.0,1.0,0.0,1.0
T1190,0.0,0.0,0.0,0.0
T1485,0.0,0.0,0.0,0.0
T1496,0.0,0.0,0.0,0.0
T1526,0.0,0.0,0.0,0.0
T1528,0.0,0.0,0.0,0.0
T1530,0.0,0.0,0.0,0.0
T1537,0.0,0.026,0.051,0.026
T1548.005,0.0,0.2,0.0,0.667
T1552.005,0.0,0.0,0.0,0.0
T1562.008,0.0,0.467,0.133,0.533
T1571,0.0,0.0,0.0,0.0
T1578,0.067,0.0,0.067,0.0
T1580,0.167,0.0,0.167,0.0
